steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
104	8	56.97288417816162	0.06776800596769299	0.06595760905976718	0.006033506833447829	0.07662864639498053	0.06117485229593413	-0.22180599	1.4191883	0.004310864366642717	0.2582285777916984	63	-0.3782957436237553
208	16	117.35405373573303	0.3993221970859797	0.30332968818773004	0.249077636762951	0.7959278762891271	0.19728463280032973	-0.1239427	1.4225395	0.0017557113304064842	0.3003861220926046	126	-2.7364174688334715
312	24	185.25458812713623	0.6476887107225926	0.6414668347981268	0.5826205453136617	1.379410755848477	0.05958931644028239	-0.066652015	1.4255892	0.04455239727110893	0.25302100986242293	189	0.03370486888397606
403	31	244.28753924369812	0.25195344569739014	0.06965448164866593	0.41446044565441426	0.9932937278881617	0.05695632755700685	-0.009506969	1.4275744	0.06083348060026765	0.27497259218245745	252	-0.006260849648607181
507	39	314.61162400245667	2.153811997945277	2.132156123773805	0.11569213443870438	2.2969180131206612	2.035195986659528	0.04019397	1.4296429	0.025616536787711083	0.3237937616556883	315	-0.02850811556230437
611	47	401.17057037353516	2.169189464194162	2.190239629393145	0.07947659959901165	2.2570973553500875	2.0542775246687865	0.06871705	1.4318641	0.26199546209070834	0.13236010272055865	378	-0.09597791789021248
702	54	483.7889974117279	2.067843000793613	2.0782355911952397	0.07874480856459759	2.174985041801338	1.9615640941287276	0.15150319	1.4332862	0.3325335545837879	0.022538146879523994	441	0.19656662288492444
806	62	586.9767029285431	2.2543151383970828	2.262351965393312	0.09934259826458844	2.369974350750062	2.105132213359171	0.23379439	1.4344649	0.34097588241100313	0.03477356538176537	504	0.2654002136543687
910	70	693.6856708526611	2.267577854063115	2.2445363138202974	0.11399531295168076	2.4091168482971628	2.1176393150384607	0.2967745	1.4352582	0.2998322428762913	0.03633485212922096	567	0.3636494303188399
1001	77	789.4545767307281	2.198284811628874	2.2157722448929023	0.10462822164890631	2.307170261758471	2.041227682507264	0.33991352	1.4357365	0.29527822077274324	0.05338387144729495	630	0.33077728173524235
1105	85	893.0650870800018	2.205644526386828	2.2748130065892265	0.20544522169968188	2.3858628303474574	1.8736874384318936	0.4441256	1.4379784	0.27720325872302054	0.05484127450734377	693	0.44000980850947335
1209	93	1004.7917191982269	2.1629591968789956	2.1752016058579757	0.10287057571425895	2.256179640881559	1.9993419491242759	0.5208009	1.4400334	0.25111588686704633	0.04323767488822341	756	0.5204394671514068
1300	100	1103.6388223171234	2.215706059405253	2.201906943283077	0.07919205523656313	2.3425802914212217	2.140979713601172	0.59179133	1.4413446	0.25846252143383025	0.05028370613232255	819	0.3978060025207545
1404	108	1203.2839705944061	2.0557508004724507	2.0904549315524865	0.08583750127566274	2.115868805677148	1.9056820576279927	0.6494488	1.4425007	0.26921243280172347	0.03466452119871974	882	0.5036963148323894
1508	116	1303.673359632492	2.172906994532371	2.186728095421118	0.09032671440712538	2.3016783114824673	2.0646560810826258	0.7069536	1.4433352	0.24464736498892306	0.06046063201501965	945	0.5099714889416677
